Year,Main_Genre,Total_Gross
1965,Crime,$0.0M
1965,Biography,$163.21M
1965,Action,$63.6M
1964,Drama,$72.03M
1964,Crime,$7.0M
1964,Comedy,$128.74M
1964,Action,$65.58M
1963,Drama,$11.49M
1963,Crime,$0.0M
1963,Comedy,$24.35M
1963,Biography,$57.78M
1963,Animation,$22.18M
1963,Adventure,$12.1M
1963,Action,$75.68M
1962,Horror,$0.0M
1962,Drama,$4.05M
1962,Crime,$9.25M
1962,Adventure,$44.82M
1962,Action,$55.17M
1961,Drama,$8.28M
1961,Crime,$43.66M
1961,Comedy,$0.0M
1961,Animation,$144.88M
1961,Action,$28.9M
1960,Horror,$32.0M
1960,Drama,$1.66M
1960,Crime,$0.34M
1960,Comedy,$38.12M
1960,Biography,$0.0M
1960,Adventure,$30.0M
1960,Action,$4.91M
1959,Western,$12.54M
1959,Drama,$11.99M
1959,Crime,$0.0M
1959,Comedy,$25.0M
1959,Animation,$51.6M
1959,Adventure,$74.7M
1959,Action,$13.28M
1958,Mystery,$3.2M
1958,Drama,$17.57M
1958,Crime,$2.35M
1958,Action,$0.0M
1957,Drama,$0.75M
1957,Crime,$12.54M
1957,Comedy,$0.0M
1957,Adventure,$44.91M
1956,Drama,$10.25M
1956,Crime,$0.0M
1956,Biography,$21.3M
1956,Adventure,$135.74M
1955,Mystery,$8.75M
1955,Drama,$0.54M
1955,Crime,$1.8M
1955,Comedy,$12.0M
1955,Animation,$93.6M
1954,Mystery,$36.76M
1954,Drama,$21.75M
1954,Crime,$9.61M
1954,Comedy,$39.4M
1954,Adventure,$28.2M
1954,Action,$0.27M
1953,Drama,$50.5M
1953,Crime,$0.0M
1953,Comedy,$12.0M
1953,Animation,$87.4M
1953,Adventure,$0.0M
1953,Action,$4.36M
1952,Drama,$9.58M
1952,Comedy,$19.37M
1951,Drama,$16.47M
1951,Crime,$7.63M
1951,Animation,$1.07M
1951,Adventure,$0.54M
1950,Drama,$0.01M
1950,Crime,$0.1M
1950,Comedy,$0.0M
1950,Animation,$85.0M
1949,Film-Noir,$0.45M
1949,Comedy,$0.0M
1949,Action,$0.0M
1948,Drama,$11.23M
1948,Crime,$0.0M
1948,Adventure,$5.01M
1948,Action,$0.0M
1947,Drama,$0.0M
1947,Crime,$0.01M
1947,Comedy,$2.65M
1946,Drama,$34.41M
1946,Crime,$6.54M
1945,Film-Noir,$7.0M
1945,Drama,$9.46M
1945,Crime,$0.0M
1944,Drama,$4.36M
1944,Crime,$5.72M
1944,Comedy,$0.0M
1944,Adventure,$0.0M
1942,Drama,$1.02M
1942,Comedy,$0.0M
1942,Animation,$102.8M
1941,Horror,$0.0M
1941,Film-Noir,$4.5M
1941,Drama,$1.59M
1941,Crime,$2.11M
1941,Animation,$1.6M
1941,Adventure,$0.0M
1940,Drama,$4.42M
1940,Comedy,$0.79M
1940,Animation,$160.66M
1939,Drama,$198.68M
1939,Comedy,$9.6M
1939,Adventure,$0.0M
1938,Mystery,$0.0M
1938,Comedy,$4.66M
1938,Action,$3.98M
1937,Drama,$0.17M
1937,Animation,$184.93M
1936,Comedy,$0.16M
1935,Drama,$4.36M
1935,Crime,$0.0M
1935,Comedy,$2.54M
1934,Comedy,$4.36M
1933,Comedy,$0.0M
1932,Drama,$0.63M
1932,Action,$0.0M
1931,Drama,$0.0M
1931,Crime,$0.03M
1931,Comedy,$0.02M
1930,Drama,$3.27M
1928,Comedy,$0.0M
1928,Biography,$0.02M
1927,Drama,$1.78M
1926,Action,$1.03M
1925,Drama,$0.05M
1925,Adventure,$5.45M
1924,Action,$0.98M
1921,Comedy,$5.45M
1920,Horror,$0.0M
